Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
129,"U Sumalatha, KK Prakasha, S Prabhu…","A comprehensive review of unimodal and multimodal fingerprint biometric authentication systems: Fusion, attacks, and template protection",2024,"IEEE access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10511051/","https://scholar.google.com/scholar?cites=8747175281727664374&as_sdt=2005&sciodt=2007&hl=en",1,"2026-09-22 08:28:53","","","",,,,,,129,64.50,32,4,2,"… applied to multimodal fingerprint biometric systems. A survey of the literature on multimodal … 6) The performance of fingerprint indexing techniques is assessed using metrics, such as the …","https://ieeexplore.ieee.org/iel7/6287639/6514899/10511051.pdf","https://scholar.google.com/scholar?q=related:9nB0_5I1ZHkJ:scholar.google.com/&scioq=finger+print+indexing&hl=en&as_sdt=2007&as_ylo=2022"
103,"SA Grosz, AK Jain","Afr-net: Attention-driven fingerprint recognition network",2023,"IEEE Transactions on biometrics, behavior …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10255275/","https://scholar.google.com/scholar?cites=3991311516916586350&as_sdt=2005&sciodt=2007&hl=en",2,"2026-09-22 08:28:53","","","",,,,,,103,34.33,52,2,3,"… See https://www.ieee.org/publications/rights/index.html for more information. … methods, we should note that latent fingerprint identification is an extremely challenging task that re- …","https://arxiv.org/pdf/2211.13897","https://scholar.google.com/scholar?q=related:bhe9ga38YzcJ:scholar.google.com/&scioq=finger+print+indexing&hl=en&as_sdt=2007&as_ylo=2022"
65,"Y Qiu, H Chen, X Dong, Z Lin, IY Liao…","Ifvit: Interpretable fixed-length representation for fingerprint matching via vision transformer",2024,"IEEE Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10806774/","https://scholar.google.com/scholar?cites=8708348905129165956&as_sdt=2005&sciodt=2007&hl=en",3,"2026-09-22 08:28:53","","","",,,,,,65,32.50,11,6,2,"… fingerprint representations for fingerprint indexing, enabling visualization and refinement using correspondences between local fixedlength fingerprint … on the given fingerprint pair, we …","https://arxiv.org/pdf/2404.08237?","https://scholar.google.com/scholar?q=related:hMRivjBF2ngJ:scholar.google.com/&scioq=finger+print+indexing&hl=en&as_sdt=2007&as_ylo=2022"
120,"H Ren, L Sun, J Guo, C Han","A dataset and benchmark for multimodal biometric recognition based on fingerprint and finger vein",2022,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9775730/","https://scholar.google.com/scholar?cites=15999497339981936361&as_sdt=2005&sciodt=2007&hl=en",4,"2026-09-22 08:28:53","","","",,,,,,120,30.00,30,4,4,"… The fingerprint and finger vein collection modules are integrated in the same narrow space, which … Each volunteer provided the index and middle fingers of two hands, and each finger …","","https://scholar.google.com/scholar?q=related:6TZuzg-iCd4J:scholar.google.com/&scioq=finger+print+indexing&hl=en&as_sdt=2007&as_ylo=2022"
53,"L Sun, X Wang, Z Huang, B Li","Radio-frequency fingerprint extraction based on feature inhomogeneity",2022,"IEEE Internet of Things Journal","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9721428/","https://scholar.google.com/scholar?cites=5849709698482829315&as_sdt=2005&sciodt=2007&hl=en",5,"2026-09-22 08:28:53","","","",,,,,,53,13.25,13,4,4,"… on the dispersion characteristic index (DCI) and emitter-specific information index (ESI) is … It is more like using face recognition or fingerprint recognition to convey the identity of an …","","https://scholar.google.com/scholar?q=related:A_g5SfpXLlEJ:scholar.google.com/&scioq=finger+print+indexing&hl=en&as_sdt=2007&as_ylo=2022"
108,"JJ Engelsma, S Grosz, AK Jain","PrintsGAN: Synthetic fingerprint generator",2022,"IEEE Transactions on Pattern …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9893541/","https://scholar.google.com/scholar?cites=4743239737974553474&as_sdt=2005&sciodt=2007&hl=en",6,"2026-09-22 08:28:53","","","",,,,,,108,27.00,36,3,4,"… (TAR) on several real fingerprint evaluation datasets which is … , we demonstrate that our synthetic fingerprints model the intra-… , PrintsGAN fingerprints give a higher Goodness Index (GI) […","https://arxiv.org/pdf/2201.03674","https://scholar.google.com/scholar?q=related:gnt9Mmlf00EJ:scholar.google.com/&scioq=finger+print+indexing&hl=en&as_sdt=2007&as_ylo=2022"
50,"L Huang, H Cao, L Chen, Y Ma, Y Yang, X Liu, W Wang…","Terahertz reconfigurable metasensor for specific recognition multiple and mixed chemical substances based on AIT fingerprint enhancement",2024,"Talanta","Elsevier","https://www.sciencedirect.com/science/article/pii/S0039914023012328","https://scholar.google.com/scholar?cites=16549171879721439587&as_sdt=2005&sciodt=2007&hl=en",7,"2026-09-22 08:28:53","","","",,,,,,50,25.00,6,8,2,"… The refractive index and absorption coefficient of the chemical substances can be further … ways: refractive index sensing and fingerprint peak detection. For refractive index sensing, the …","","https://scholar.google.com/scholar?q=related:YxGusSR4quUJ:scholar.google.com/&scioq=finger+print+indexing&hl=en&as_sdt=2007&as_ylo=2022"
41,"Y Zhao, W Gong, L Li, B Zhang…","An efficient and robust fingerprint-based localization method for multifloor indoor environment",2023,"IEEE Internet of Things …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10193765/","https://scholar.google.com/scholar?cites=10641892258989834481&as_sdt=2005&sciodt=2007&hl=en",8,"2026-09-22 08:28:53","","","",,,,,,41,13.67,8,5,3,"… index using the building identification model. After that, we further input the RSSI fingerprint … IoT device, which includes building index, floor index, longitude and latitude coordinates. …","https://drive.google.com/file/d/1EgNnu5PECZ4XA840AxCrQrBroeMh1hEL/view","https://scholar.google.com/scholar?q=related:8YARW6CYr5MJ:scholar.google.com/&scioq=finger+print+indexing&hl=en&as_sdt=2007&as_ylo=2022"
66,"AV Paterova, ZSD Toa, H Yang, LA Krivitsky","Broadband quantum spectroscopy at the fingerprint mid-infrared region",2022,"ACS Photonics","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acsphotonics.2c00464","https://scholar.google.com/scholar?cites=10393849134768076579&as_sdt=2005&sciodt=2007&hl=en",9,"2026-09-22 08:28:53","","10.1021/acsphotonics.2c00464","",,,,,,66,16.50,17,4,4,"… Our technique simultaneously measures the absorption coefficient and refractive index in the broad “fingerprint” region with high accuracy. As a proof-of-concept, we perform …","https://pubs.acs.org/doi/pdf/10.1021/acsphotonics.2c00464","https://scholar.google.com/scholar?q=related:IzfaFrhePpAJ:scholar.google.com/&scioq=finger+print+indexing&hl=en&as_sdt=2007&as_ylo=2022"
136,"B Liu, Y Peng, YF Hao, Y Zhu, S Chang, S Zhuang","Ultra-wideband terahertz fingerprint enhancement sensing and inversion model supported by single-pixel reconfigurable graphene metasurface",2024,"PhotoniX","Springer","https://link.springer.com/article/10.1186/s43074-024-00129-4","https://scholar.google.com/scholar?cites=11110258749948335300&as_sdt=2005&sciodt=2007&hl=en",10,"2026-09-22 08:28:53","HTML","10.1186/s43074-024-00129-4","",,,,,,136,68.00,23,6,2,"… -wideband THz fingerprint sensing … fingerprint retrieval, the contribution of refractive index frequency shift sensing is almost negligible. But for completeness, we show the refractive index …","https://link.springer.com/article/10.1186/s43074-024-00129-4","https://scholar.google.com/scholar?q=related:xJRY6XeRL5oJ:scholar.google.com/&scioq=finger+print+indexing&hl=en&as_sdt=2007&as_ylo=2022"
