Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
86,"AMM Chowdhury, MH Imtiaz","Contactless fingerprint recognition using deep learning—a systematic review",2022,"Journal of Cybersecurity and Privacy","mdpi.com","https://www.mdpi.com/2624-800X/2/3/36","https://scholar.google.com/scholar?cites=13477450395880816951&as_sdt=2005&sciodt=2007&hl=en",1,"2026-09-22 08:41:33","HTML","","",,,,,,86,21.50,43,2,4,"… -based fingerprint recognition system is fingerprint capturing [10]. … -based fingerprint, issues such as a latent fingerprint left by a … biometric workflow of a contactless fingerprint recognition …","https://www.mdpi.com/2624-800X/2/3/36","https://scholar.google.com/scholar?q=related:N4FsfLqFCbsJ:scholar.google.com/&scioq=fingerprint+recognition&hl=en&as_sdt=2007&as_ylo=2022"
84,"B Hou, H Zhang, R Yan","Finger-vein biometric recognition: A review",2022,"IEEE Transactions on Instrumentation …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9862986/","https://scholar.google.com/scholar?cites=12387911948214093567&as_sdt=2005&sciodt=2007&hl=en",2,"2026-09-22 08:41:33","","","",,,,,,84,21.00,28,3,4,"… To review and summarize 12 these methods, the case studies of the finger-vein database … of finger-vein recognition 15 research, especially the 3-D finger-vein recognition research, 16 …","","https://scholar.google.com/scholar?q=related:_0Yebki06qsJ:scholar.google.com/&scioq=fingerprint+recognition&hl=en&as_sdt=2007&as_ylo=2022"
107,"P Melzi, C Rathgeb, R Tolosana…","An overview of privacy-enhancing technologies in biometric recognition",2024,"ACM Computing …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3664596","https://scholar.google.com/scholar?cites=7026665304037437977&as_sdt=2005&sciodt=2007&hl=en",3,"2026-09-22 08:41:33","","10.1145/3664596","",,,,,,107,53.50,27,4,2,"… network protocols that are not exclusive to biometric data. It is important to emphasize that … biometric recognition systems, which represent the most prevalent use case for biometric data […","https://dl.acm.org/doi/pdf/10.1145/3664596","https://scholar.google.com/scholar?q=related:GbK2et26g2EJ:scholar.google.com/&scioq=fingerprint+recognition&hl=en&as_sdt=2007&as_ylo=2022"
103,"SA Grosz, AK Jain","Afr-net: Attention-driven fingerprint recognition network",2023,"IEEE Transactions on biometrics, behavior …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10255275/","https://scholar.google.com/scholar?cites=3991311516916586350&as_sdt=2005&sciodt=2007&hl=en",4,"2026-09-22 08:41:33","","","",,,,,,103,34.33,52,2,3,"… on the use of ViT for biometric recognition, including fingerprint recognition. In this work, we … state-of-the-art (SOTA) fingerprint recognition (both authentication and identification). Our …","https://arxiv.org/pdf/2211.13897","https://scholar.google.com/scholar?q=related:bhe9ga38YzcJ:scholar.google.com/&scioq=fingerprint+recognition&hl=en&as_sdt=2007&as_ylo=2022"
120,"H Ren, L Sun, J Guo, C Han","A dataset and benchmark for multimodal biometric recognition based on fingerprint and finger vein",2022,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9775730/","https://scholar.google.com/scholar?cites=15999497339981936361&as_sdt=2005&sciodt=2007&hl=en",5,"2026-09-22 08:41:33","","","",,,,,,120,30.00,30,4,4,"… of multibiometric technology based on finger. To promote research on multimodal biometric recognition based on fingerprint and finger vein, we design a finger collection device and …","","https://scholar.google.com/scholar?q=related:6TZuzg-iCd4J:scholar.google.com/&scioq=fingerprint+recognition&hl=en&as_sdt=2007&as_ylo=2022"
375,"Z Zhang, Z Wang, C Zhang, Z Yao, S Zhang…","Advanced terahertz refractive sensing and fingerprint recognition through metasurface‐excited surface waves",2024,"Advanced …","Wiley Online Library","https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202308453","https://scholar.google.com/scholar?cites=1705439186695517330&as_sdt=2005&sciodt=2007&hl=en",6,"2026-09-22 08:41:33","","10.1002/adma.202308453","",,,,,,375,187.50,63,6,2,"… refractive sensing and fingerprint recognition using SWs. The ca… successfully achieve specific fingerprint recognition based on … in refractive sensing and fingerprint recognition fields. …","https://www.researchgate.net/profile/Zhuo-Wang-64/publication/377186363_Advanced_Terahertz_Refractive_Sensing_And_Fingerprint_Recognition_Through_Metasurface-Excited_Surface_Waves/links/65a4f3a6af617b0d8745b172/Advanced-Terahertz-Refractive-Sensing-And-Fingerprint-Recognition-Through-Metasurface-Excited-Surface-Waves.pdf","https://scholar.google.com/scholar?q=related:knQEjefvqhcJ:scholar.google.com/&scioq=fingerprint+recognition&hl=en&as_sdt=2007&as_ylo=2022"
414,"Z Zhang, X Zhao, X Zhang, X Hou, X Ma, S Tang…","In-sensor reservoir computing system for latent fingerprint recognition with deep ultraviolet photo-synapses and memristor array",2022,"Nature …","nature.com","https://www.nature.com/articles/s41467-022-34230-8","https://scholar.google.com/scholar?cites=11981272602345827405&as_sdt=2005&sciodt=2007&hl=en",7,"2026-09-22 08:41:33","HTML","","",,,,,,414,103.50,59,7,4,"… ex-situ fingerprint recognition system seriously deteriorates the … to detect and recognize the latent fingerprint with in-sensor and … fingerprint identification. The system maintains over 90% …","https://www.nature.com/articles/s41467-022-34230-8","https://scholar.google.com/scholar?q=related:TWzxy_MHRqYJ:scholar.google.com/&scioq=fingerprint+recognition&hl=en&as_sdt=2007&as_ylo=2022"
77,"M Rukhiran, S Wong-In, P Netinant","IoT-based biometric recognition systems in education for identity verification services: Quality assessment approach",2023,"Ieee Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10058940/","https://scholar.google.com/scholar?cites=722082888350490390&as_sdt=2005&sciodt=2007&hl=en",8,"2026-09-22 08:41:33","","","",,,,,,77,25.67,26,3,3,"… flexible biometric recognition systems and an approach to assess the quality of biometric systems for … of identity verification of various biometric recognition technologies compared to the …","https://ieeexplore.ieee.org/iel7/6287639/10005208/10058940.pdf","https://scholar.google.com/scholar?q=related:Ft-Eqo9aBQoJ:scholar.google.com/&scioq=fingerprint+recognition&hl=en&as_sdt=2007&as_ylo=2022"
84,"TMC Pereira, RC Conceição, V Sencadas, R Sebastião","Biometric recognition: A systematic review on electrocardiogram data acquisition methods",2023,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/23/3/1507","https://scholar.google.com/scholar?cites=5441430766896104909&as_sdt=2005&sciodt=2007&hl=en",9,"2026-09-22 08:41:33","HTML","","",,,,,,84,28.00,21,4,3,"… Nowadays, recognition systems are used in a variety of real-world applications to protect … As a result, there has been a recent interest in the biometric field. Biometric recognition uses …","https://www.mdpi.com/1424-8220/23/3/1507","https://scholar.google.com/scholar?q=related:zUW52nPYg0sJ:scholar.google.com/&scioq=fingerprint+recognition&hl=en&as_sdt=2007&as_ylo=2022"
81,"P Melzi, R Tolosana, R Vera-Rodriguez","Ecg biometric recognition: Review, system proposal, and benchmark evaluation",2023,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10043674/","https://scholar.google.com/scholar?cites=18126925632287521026&as_sdt=2005&sciodt=2007&hl=en",10,"2026-09-22 08:41:33","","","",,,,,,81,27.00,27,3,3,"… In this study we consider two different biometric recognition … to extract features suitable for biometric recognition tasks. Hence, … approaches for ECG biometric recognition, highlighting the …","https://ieeexplore.ieee.org/iel7/6287639/10005208/10043674.pdf","https://scholar.google.com/scholar?q=related:ArlrbtLGj_sJ:scholar.google.com/&scioq=fingerprint+recognition&hl=en&as_sdt=2007&as_ylo=2022"
